,date,DR. NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,crime_desc,Status,Status Desc,LOCATION,Cross Street,lonlat,rape,lon,lat
74564,2015-08-12,151815478,08/12/2015 12:00:00 AM,1600,18,Southeast,1832,121,"RAPE, FORCIBLE",IC,Invest Cont,         BROADWAY,   105TH                        ST,"33.9410, -118.2781",1,33.9410, -118.2781
74586,2015-08-18,151815780,08/12/2015 12:00:00 AM,1,18,Southeast,1802,121,"RAPE, FORCIBLE",IC,Invest Cont,  100 W  87TH                         ST,,"33.9586, -118.2739",1,33.9586, -118.2739
74589,2015-08-12,151916248,08/12/2015 12:00:00 AM,15,19,Mission,1921,121,"RAPE, FORCIBLE",IC,Invest Cont,12700    ENCINITAS                    AV,,"34.3005, -118.4744",1,34.3005, -118.4744
75112,2015-08-11,151421500,08/11/2015 12:00:00 AM,1430,14,Pacific,1483,121,"RAPE, FORCIBLE",IC,Invest Cont, 8600    LINCOLN                      BL,,"33.9598, -118.4193",1,33.9598, -118.4193
75264,2015-08-11,151916219,08/11/2015 12:00:00 AM,400,19,Mission,1993,121,"RAPE, FORCIBLE",IC,Invest Cont, 8100 N  SEPULVEDA                    BL,,"34.2181, -118.4664",1,34.2181, -118.4664
75421,2015-08-10,150318026,08/10/2015 12:00:00 AM,1,3,Southwest,397,121,"RAPE, FORCIBLE",AO,Adult Other, 4300    DENKER                       AV,,"34.0053, -118.3045",1,34.0053, -118.3045
75595,2015-09-12,150814869,08/10/2015 12:00:00 AM,1730,8,West LA,831,121,"RAPE, FORCIBLE",IC,Invest Cont,11900    DARLINGTON                   AV,,"34.0500, -118.4674",1,34.0500, -118.4674
76155,2015-08-13,150413293,08/09/2015 12:00:00 AM,2300,4,Hollenbeck,466,122,"RAPE, ATTEMPTED",AO,Adult Other, 2800    MICHIGAN                     AV,,"34.0431, -118.2038",1,34.0431, -118.2038
76718,2015-08-10,150118561,08/08/2015 12:00:00 AM,2350,1,Central,134,121,"RAPE, FORCIBLE",IC,Invest Cont,  300 S  BROADWAY,,"34.0510, -118.2480",1,34.0510, -118.2480
77157,2015-08-08,151516176,08/08/2015 12:00:00 AM,200,15,N Hollywood,1557,121,"RAPE, FORCIBLE",IC,Invest Cont,         HARTSOOK                     ST,   RIVERTON                     AV,"34.1636, -118.3659",1,34.1636, -118.3659
77360,2015-08-09,150101255,08/07/2015 12:00:00 AM,1700,1,Central,154,121,"RAPE, FORCIBLE",AA,Adult Arrest,  500 S  LOS ANGELES                  ST,,"34.0461, -118.2476",1,34.0461, -118.2476
79057,2015-08-14,150813488,08/05/2015 12:00:00 AM,2200,8,West LA,824,121,"RAPE, FORCIBLE",IC,Invest Cont,14700    PACIFIC COAST                HY,,"34.0263, -118.5160",1,34.0263, -118.5160
79362,2015-08-05,151700807,08/05/2015 12:00:00 AM,1645,17,Devonshire,1747,122,"RAPE, ATTEMPTED",AA,Adult Arrest,16800    SAN JOSE                     ST,,"34.2611, -118.4979",1,34.2611, -118.4979
79411,2015-08-05,151801082,08/05/2015 12:00:00 AM,100,18,Southeast,1822,121,"RAPE, FORCIBLE",IC,Invest Cont, 9400 S  SPRING                       ST,,"33.9510, -118.2766",1,33.9510, -118.2766
79507,2015-08-10,152014509,08/05/2015 12:00:00 AM,2000,20,Olympic,2097,122,"RAPE, ATTEMPTED",IC,Invest Cont, 1900 S  MARIPOSA                     AV,,"34.0400, -118.2984",1,34.0400, -118.2984
80119,2015-08-05,151815075,08/04/2015 12:00:00 AM,1900,18,Southeast,1837,121,"RAPE, FORCIBLE",AO,Adult Other, 1700 E  108TH                        ST,,"33.9379, -118.2425",1,33.9379, -118.2425
80380,2015-08-03,150610690,08/03/2015 12:00:00 AM,600,6,Hollywood,666,121,"RAPE, FORCIBLE",IC,Invest Cont, 1900    TRANSIENT,,"0.0000, 0.0000",1,0.0000, 0.0000
80461,2015-08-05,150813127,08/03/2015 12:00:00 AM,1930,8,West LA,823,121,"RAPE, FORCIBLE",IC,Invest Cont,  800    VIA DE LA PAZ,,"34.0448, -118.5277",1,34.0448, -118.5277
80671,2015-08-05,151315899,08/03/2015 12:00:00 AM,2030,13,Newton,1327,121,"RAPE, FORCIBLE",IC,Invest Cont,         28TH                         ST,   ALAMEDA,"0.0000, 0.0000",1,0.0000, 0.0000
80856,2015-08-04,151815023,08/03/2015 12:00:00 AM,1300,18,Southeast,1802,121,"RAPE, FORCIBLE",IC,Invest Cont,         87TH,   BROADWAY,"33.9586, -118.2782",1,33.9586, -118.2782
80866,2015-08-05,151815078,08/03/2015 12:00:00 AM,2000,18,Southeast,1863,122,"RAPE, ATTEMPTED",IC,Invest Cont,         116TH                        ST,   AVALON                       BL,"33.9292, -118.2652",1,33.9292, -118.2652
81751,2015-08-02,150117943,08/01/2015 12:00:00 AM,2230,1,Central,145,121,"RAPE, FORCIBLE",IC,Invest Cont,  400 S  MAIN                         ST,,"34.0482, -118.2472",1,34.0482, -118.2472
81790,2015-08-02,150215514,08/01/2015 12:00:00 AM,1700,2,Rampart,261,121,"RAPE, FORCIBLE",AO,Adult Other, 2200 W  8TH                          ST,,"34.0554, -118.2789",1,34.0554, -118.2789
81986,2015-08-07,150713222,08/01/2015 12:00:00 AM,2200,7,Wilshire,747,121,"RAPE, FORCIBLE",IC,Invest Cont,  900 S  LONGWOOD                     AV,,"34.0588, -118.3379",1,34.0588, -118.3379
82292,2015-09-15,151424664,08/01/2015 12:00:00 AM,1945,14,Pacific,1431,121,"RAPE, FORCIBLE",JA,Juv Arrest,         VENICE,   VENICE,"33.9876, -118.4660",1,33.9876, -118.4660
82374,2015-08-05,151612020,08/01/2015 12:00:00 AM,2200,16,Foothill,1684,121,"RAPE, FORCIBLE",AO,Adult Other,12000    STAGG                        ST,,"34.2121, -118.3943",1,34.2121, -118.3943
82557,2015-10-14,152017571,08/01/2015 12:00:00 AM,1200,20,Olympic,2029,121,"RAPE, FORCIBLE",IC,Invest Cont,         WILSHIRE                     BL,   VIRGIL                       AV,"34.0618, -118.2870",1,34.0618, -118.2870
82906,2015-08-03,150914596,07/31/2015 12:00:00 AM,300,9,Van Nuys,904,121,"RAPE, FORCIBLE",IC,Invest Cont,         WYANDOTTE                    ST,   SEPULVEDA                    BL,"34.2030, -118.4662",1,34.2030, -118.4662
83029,2015-08-05,151218744,07/31/2015 12:00:00 AM,330,12,77th Street,1215,122,"RAPE, ATTEMPTED",IC,Invest Cont,         VERMONT                      AV,   SLAUSON                      AV,"33.9892, -118.2915",1,33.9892, -118.2915
83295,2015-07-31,151915630,07/31/2015 12:00:00 AM,30,19,Mission,1924,122,"RAPE, ATTEMPTED",IC,Invest Cont,12100    BUCKEYE                      AV,,"34.2892, -118.4528",1,34.2892, -118.4528
83481,2015-08-12,150318123,07/30/2015 12:00:00 AM,620,3,Southwest,396,121,"RAPE, FORCIBLE",IC,Invest Cont,  900 W  42ND                         ST,,"34.0074, -118.2900",1,34.0074, -118.2900
83839,2015-07-31,151420680,07/30/2015 12:00:00 AM,300,14,Pacific,1438,122,"RAPE, ATTEMPTED",IC,Invest Cont, 3600    MIDVALE                      AV,,"34.0204, -118.4139",1,34.0204, -118.4139
83885,2015-07-30,151611727,07/30/2015 12:00:00 AM,515,16,Foothill,1675,122,"RAPE, ATTEMPTED",IC,Invest Cont,         GOLDEN STATE                 FY,   SUNLAND,"34.2221, -118.3665",1,34.2221, -118.3665
83922,2015-07-30,151713762,07/30/2015 12:00:00 AM,2030,17,Devonshire,1787,121,"RAPE, FORCIBLE",IC,Invest Cont, 8700    LINDLEY                      AV,,"34.2287, -118.5273",1,34.2287, -118.5273
84353,2015-07-29,150901178,07/29/2015 12:00:00 AM,2330,9,Van Nuys,976,121,"RAPE, FORCIBLE",IC,Invest Cont, 4600    SUNNYSLOPE                   AV,,"34.1540, -118.4269",1,34.1540, -118.4269
84479,2015-07-29,151218337,07/29/2015 12:00:00 AM,1,12,77th Street,1268,121,"RAPE, FORCIBLE",AO,Adult Other,         MANCHESTER,   SAN PEDRO,"33.9601, -118.2695",1,33.9601, -118.2695
84963,2015-08-06,150413001,07/28/2015 12:00:00 AM,2100,4,Hollenbeck,453,121,"RAPE, FORCIBLE",IC,Invest Cont,         HOLLYWOOD                    FY,   CESAR E CHAVEZ               AV,"0.0000, 0.0000",1,0.0000, 0.0000
85168,2015-07-31,151012796,07/28/2015 12:00:00 AM,2300,10,West Valley,1008,121,"RAPE, FORCIBLE",AO,Adult Other, 7900    WOODLEY                      AV,,"34.2139, -118.4837",1,34.2139, -118.4837
85752,2015-07-28,150617241,07/27/2015 12:00:00 AM,2000,6,Hollywood,647,121,"RAPE, FORCIBLE",IC,Invest Cont, 1600 N  EL CENTRO                    AV,,"34.0998, -118.3237",1,34.0998, -118.3237
86420,2015-07-26,150400946,07/26/2015 12:00:00 AM,30,4,Hollenbeck,491,121,"RAPE, FORCIBLE",IC,Invest Cont,         SOTO                         ST,   PICO                         BL,"34.0206, -118.2202",1,34.0206, -118.2202
86753,2015-07-30,151315594,07/26/2015 12:00:00 AM,1400,13,Newton,1372,121,"RAPE, FORCIBLE",IC,Invest Cont,  400 E  56TH                         ST,,"33.9916, -118.2674",1,33.9916, -118.2674
87543,2015-07-27,151420301,07/25/2015 12:00:00 AM,300,14,Pacific,1409,121,"RAPE, FORCIBLE",AO,Adult Other, 3700 S  CANFIELD                     AV,,"34.0284, -118.3958",1,34.0284, -118.3958
87566,2015-07-25,151515442,07/25/2015 12:00:00 AM,10,15,N Hollywood,1547,121,"RAPE, FORCIBLE",IC,Invest Cont,11600    BURBANK                      BL,,"34.1722, -118.3844",1,34.1722, -118.3844
87730,2015-07-31,151915602,07/25/2015 12:00:00 AM,400,19,Mission,1981,121,"RAPE, FORCIBLE",IC,Invest Cont, 8400    LANGDON                      AV,,"34.2231, -118.4699",1,34.2231, -118.4699
87888,2015-07-24,150316977,07/24/2015 12:00:00 AM,700,3,Southwest,398,121,"RAPE, FORCIBLE",AA,Adult Arrest,  700 W  41ST                         PL,,"34.0078, -118.2857",1,34.0078, -118.2857
88190,2015-11-01,151119182,07/24/2015 12:00:00 AM,10,11,Northeast,1142,121,"RAPE, FORCIBLE",IC,Invest Cont, 4600    FINLEY                       AV,,"34.1077, -118.2903",1,34.1077, -118.2903
88326,2015-07-30,151515687,07/24/2015 12:00:00 AM,430,15,N Hollywood,1555,121,"RAPE, FORCIBLE",IC,Invest Cont,11200    OTSEGO                       ST,,"34.1630, -118.3746",1,34.1630, -118.3746
88475,2015-09-03,151917498,07/24/2015 12:00:00 AM,2200,19,Mission,1984,121,"RAPE, FORCIBLE",IC,Invest Cont, 8800    WILLIS                       AV,,"34.2300, -118.4553",1,34.2300, -118.4553
88771,2015-07-23,150712611,07/23/2015 12:00:00 AM,200,7,Wilshire,701,121,"RAPE, FORCIBLE",IC,Invest Cont,  800 N  SWEETZER                     AV,,"34.0854, -118.3703",1,34.0854, -118.3703
88878,2015-07-28,151012665,07/23/2015 12:00:00 AM,1000,10,West Valley,1063,121,"RAPE, FORCIBLE",IC,Invest Cont,18600    VENTURA                      BL,,"34.1698, -118.5386",1,34.1698, -118.5386
89018,2015-07-23,151420054,07/23/2015 12:00:00 AM,1500,14,Pacific,1443,121,"RAPE, FORCIBLE",IC,Invest Cont,         LINCOLN,   VENICE,"33.9940, -118.4526",1,33.9940, -118.4526
89447,2015-07-22,150712558,07/22/2015 12:00:00 AM,1500,7,Wilshire,774,121,"RAPE, FORCIBLE",AO,Adult Other,         VENICE                       BL,   LA BREA                      AV,"34.0460, -118.3453",1,34.0460, -118.3453
89548,2015-07-24,151012491,07/22/2015 12:00:00 AM,1400,10,West Valley,1025,121,"RAPE, FORCIBLE",IC,Invest Cont,         RESEDA                       BL,   SHERMAN                      WY,"34.2011, -118.5360",1,34.2011, -118.5360
89779,2015-07-23,151611515,07/22/2015 12:00:00 AM,2200,16,Foothill,1663,121,"RAPE, FORCIBLE",IC,Invest Cont, 9400    SAN FERNANDO                 RD,,"34.2401, -118.3946",1,34.2401, -118.3946
89811,2015-07-23,151801035,07/22/2015 12:00:00 AM,1200,18,Southeast,1835,121,"RAPE, FORCIBLE",IC,Invest Cont,         107TH                        ST,   CENTRAL                      AV,"33.9388, -118.2535",1,33.9388, -118.2535
89813,2015-07-24,151801045,07/22/2015 12:00:00 AM,1330,18,Southeast,1842,121,"RAPE, FORCIBLE",IC,Invest Cont,  100 W  108TH                        ST,,"33.9383, -118.2739",1,33.9383, -118.2739
89979,2015-08-04,150118160,07/21/2015 12:00:00 AM,2300,1,Central,135,121,"RAPE, FORCIBLE",IC,Invest Cont,         3RD,   MAIN,"34.0489, -118.2453",1,34.0489, -118.2453
90398,2015-07-22,151419876,07/21/2015 12:00:00 AM,1000,14,Pacific,1443,121,"RAPE, FORCIBLE",IC,Invest Cont,         VENICE                       BL,   LINCOLN,"33.9940, -118.4526",1,33.9940, -118.4526
90479,2015-07-27,151611627,07/21/2015 12:00:00 AM,2000,16,Foothill,1687,121,"RAPE, FORCIBLE",AO,Adult Other, 8200    CASE                         AV,,"34.2194, -118.3725",1,34.2194, -118.3725
90607,2015-07-21,152013639,07/21/2015 12:00:00 AM,1200,20,Olympic,2081,121,"RAPE, FORCIBLE",AO,Adult Other, 1600 S  GRAMERCY                     PL,,"34.0436, -118.3130",1,34.0436, -118.3130
90673,2015-07-20,150117115,07/20/2015 12:00:00 AM,1,1,Central,111,121,"RAPE, FORCIBLE",AO,Adult Other,  500 N  FIGUEROA                     ST,,"34.0617, -118.2469",1,34.0617, -118.2469
90674,2015-07-20,150117116,07/20/2015 12:00:00 AM,305,1,Central,118,121,"RAPE, FORCIBLE",IC,Invest Cont,         ALHAMBRA                     AV,   MAIN                         ST,"34.0611, -118.2354",1,34.0611, -118.2354
90691,2015-07-20,150117157,07/20/2015 12:00:00 AM,100,1,Central,157,121,"RAPE, FORCIBLE",IC,Invest Cont,  600 S  SAN PEDRO                    ST,,"34.0423, -118.2452",1,34.0423, -118.2452
91183,2015-07-20,151515214,07/20/2015 12:00:00 AM,1030,15,N Hollywood,1535,121,"RAPE, FORCIBLE",AO,Adult Other, 5800    TROOST                       AV,,"34.1758, -118.3866",1,34.1758, -118.3866
91329,2015-07-20,151914999,07/20/2015 12:00:00 AM,2000,19,Mission,1913,121,"RAPE, FORCIBLE",IC,Invest Cont,12900    NORRIS                       AV,,"34.3043, -118.4551",1,34.3043, -118.4551
91385,2015-08-19,152014963,07/20/2015 12:00:00 AM,300,20,Olympic,2027,121,"RAPE, FORCIBLE",IC,Invest Cont,  500 S  NEW HAMPSHIRE                AV,,"34.0654, -118.2929",1,34.0654, -118.2929
91453,2015-07-21,150200879,07/19/2015 12:00:00 AM,1900,2,Rampart,246,121,"RAPE, FORCIBLE",IC,Invest Cont,         3RD                          ST,   ALVARADO,"34.0630, -118.2727",1,34.0630, -118.2727
91669,2015-07-19,150913816,07/19/2015 12:00:00 AM,600,9,Van Nuys,969,121,"RAPE, FORCIBLE",AO,Adult Other, 4900    FULTON                       AV,,"34.1595, -118.4225",1,34.1595, -118.4225
91882,2015-07-26,151420252,07/19/2015 12:00:00 AM,1200,14,Pacific,1457,121,"RAPE, FORCIBLE",IC,Invest Cont,12100    MARSHALL                     ST,,"33.9910, -118.4153",1,33.9910, -118.4153
91918,2015-10-01,151519544,07/19/2015 12:00:00 AM,1300,15,N Hollywood,1523,121,"RAPE, FORCIBLE",IC,Invest Cont,         WHITSETT,   OXNARD,"34.1794, -118.4052",1,34.1794, -118.4052
92102,2015-07-19,152112998,07/19/2015 12:00:00 AM,2000,21,Topanga,2177,121,"RAPE, FORCIBLE",IC,Invest Cont,21800    OXNARD                       ST,,"34.1792, -118.6030",1,34.1792, -118.6030
92327,2015-07-22,150812463,07/18/2015 12:00:00 AM,1130,8,West LA,817,122,"RAPE, ATTEMPTED",IC,Invest Cont,10900    WILSHIRE                     BL,,"34.0588, -118.4439",1,34.0588, -118.4439
92343,2015-07-18,150913788,07/18/2015 12:00:00 AM,700,9,Van Nuys,904,121,"RAPE, FORCIBLE",AO,Adult Other,14500    SATICOY                      ST,,"34.2085, -118.4488",1,34.2085, -118.4488
92422,2015-07-18,151217483,07/18/2015 12:00:00 AM,130,12,77th Street,1263,121,"RAPE, FORCIBLE",IC,Invest Cont, 7900 S  WESTERN                      AV,,"33.9673, -118.3090",1,33.9673, -118.3090
92545,2015-07-20,151500826,07/18/2015 12:00:00 AM,300,15,N Hollywood,1532,121,"RAPE, FORCIBLE",AA,Adult Arrest, 5700    WHITSETT                     AV,,"34.1740, -118.4052",1,34.1740, -118.4052
92577,2015-07-19,151600980,07/18/2015 12:00:00 AM,300,16,Foothill,1601,121,"RAPE, FORCIBLE",IC,Invest Cont,11800    FELLOWS                      AV,,"34.2838, -118.4195",1,34.2838, -118.4195
92603,2015-10-22,151615109,07/18/2015 12:00:00 AM,2300,16,Foothill,1693,121,"RAPE, FORCIBLE",IC,Invest Cont, 7900    WHITSETT                     AV,,"34.2140, -118.4053",1,34.2140, -118.4053
92770,2015-07-17,150101197,07/17/2015 12:00:00 AM,400,1,Central,163,121,"RAPE, FORCIBLE",IC,Invest Cont,         8TH,   BROADWAY,"34.0438, -118.2547",1,34.0438, -118.2547
93200,2015-07-22,151217856,07/17/2015 12:00:00 AM,600,12,77th Street,1258,121,"RAPE, FORCIBLE",IC,Invest Cont,  100 W  FLORENCE                     AV,,"33.9747, -118.2739",1,33.9747, -118.2739
93206,2015-09-22,151222044,07/17/2015 12:00:00 AM,1200,12,77th Street,1265,121,"RAPE, FORCIBLE",JO,Juv Other, 1100 W  81ST                         PL,,"33.9653, -118.2941",1,33.9653, -118.2941
93243,2015-07-20,151315011,07/17/2015 12:00:00 AM,100,13,Newton,1377,121,"RAPE, FORCIBLE",IC,Invest Cont, 1600 E  55TH                         ST,,"33.9930, -118.2455",1,33.9930, -118.2455
93411,2015-07-19,151814295,07/17/2015 12:00:00 AM,2300,18,Southeast,1844,121,"RAPE, FORCIBLE",IC,Invest Cont,         111TH                        ST,   AVALON,"33.9348, -118.2652",1,33.9348, -118.2652
