,date,DR. NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,crime_desc,Status,Status Desc,LOCATION,Cross Street,lonlat,rape,lon,lat
116400,2015-07-02,150400938,06/13/2015 12:00:00 AM,2000,4,Hollenbeck,438,121,"RAPE, FORCIBLE",IC,Invest Cont, 2400    ENDICOTT                     ST,,"34.0747, -118.1711",1,34.0747, -118.1711
116413,2015-06-14,150411004,06/13/2015 12:00:00 AM,2100,4,Hollenbeck,415,121,"RAPE, FORCIBLE",IC,Invest Cont,         AVENUE 28,   GRIFFIN,"34.0793, -118.2119",1,34.0793, -118.2119
116502,2015-06-17,150801128,06/13/2015 12:00:00 AM,1600,8,West LA,893,121,"RAPE, FORCIBLE",IC,Invest Cont, 2600    GREENFIELD                   AV,,"34.0358, -118.4299",1,34.0358, -118.4299
116630,2015-06-14,151215116,06/13/2015 12:00:00 AM,400,12,77th Street,1218,121,"RAPE, FORCIBLE",AA,Adult Arrest,         FIGUEROA,   53RD,"33.9942, -118.2827",1,33.9942, -118.2827
117012,2015-07-08,150214268,06/12/2015 12:00:00 AM,2030,2,Rampart,216,121,"RAPE, FORCIBLE",IC,Invest Cont,         PARK VIEW,   CARONDELET                   ST,"0.0000, 0.0000",1,0.0000, 0.0000
117769,2015-06-12,150314336,06/11/2015 12:00:00 AM,2345,3,Southwest,379,121,"RAPE, FORCIBLE",AO,Adult Other, 1100    EXPOSITION                   BL,,"34.0182, -118.2944",1,34.0182, -118.2944
117883,2015-07-02,150615670,06/11/2015 12:00:00 AM,1200,6,Hollywood,638,122,"RAPE, ATTEMPTED",IC,Invest Cont,         GOWER,   FRANKLIN,"34.1053, -118.3224",1,34.1053, -118.3224
118441,2015-06-10,150114462,06/10/2015 12:00:00 AM,1100,1,Central,156,121,"RAPE, FORCIBLE",IC,Invest Cont,         6TH                          ST,   SAN JULIAN,"34.0423, -118.2452",1,34.0423, -118.2452
118462,2015-08-07,150118358,06/10/2015 12:00:00 AM,2300,1,Central,105,121,"RAPE, FORCIBLE",AO,Adult Other,  400    SOLANO                       AV,,"34.0710, -118.2302",1,34.0710, -118.2302
118876,2015-09-23,151425063,06/10/2015 12:00:00 AM,1200,14,Pacific,1472,121,"RAPE, FORCIBLE",IC,Invest Cont,         JEFFERSON,   CULVER,"33.9678, -118.4396",1,33.9678, -118.4396
119211,2015-06-23,150315118,06/09/2015 12:00:00 AM,2100,3,Southwest,357,121,"RAPE, FORCIBLE",IC,Invest Cont,      W  JEFFERSON                    BL,S  WESTERN                      AV,"34.0256, -118.3089",1,34.0256, -118.3089
119276,2015-06-09,150614227,06/09/2015 12:00:00 AM,100,6,Hollywood,636,121,"RAPE, FORCIBLE",AO,Adult Other, 1700    WHITLEY                      AV,,"34.1016, -118.3333",1,34.1016, -118.3333
119335,2015-06-10,150810649,06/09/2015 12:00:00 AM,1600,8,West LA,803,121,"RAPE, FORCIBLE",IC,Invest Cont,         WESTRIDGE,   MANDEVILLE CANYON,"34.0643, -118.4932",1,34.0643, -118.4932
119378,2015-06-19,150912442,06/09/2015 12:00:00 AM,2300,9,Van Nuys,998,121,"RAPE, FORCIBLE",AO,Adult Other,12900    VENTURA                      BL,,"34.1451, -118.4137",1,34.1451, -118.4137
119444,2015-06-09,151214827,06/09/2015 12:00:00 AM,400,12,77th Street,1265,121,"RAPE, FORCIBLE",IC,Invest Cont, 8600 S  VERMONT                      AV,,"33.9676, -118.2918",1,33.9676, -118.2918
119633,2015-06-09,151812130,06/09/2015 12:00:00 AM,640,18,Southeast,1871,121,"RAPE, FORCIBLE",IC,Invest Cont,14600    ESTRELLA                     AV,,"33.8996, -118.2857",1,33.8996, -118.2857
119644,2015-06-09,151812167,06/09/2015 12:00:00 AM,1930,18,Southeast,1863,121,"RAPE, FORCIBLE",IC,Invest Cont,11600    AVALON                       BL,,"33.9292, -118.2652",1,33.9292, -118.2652
119737,2015-07-01,150101151,06/08/2015 12:00:00 AM,1700,1,Central,171,121,"RAPE, FORCIBLE",AO,Adult Other,  900 W  OLYMPIC                      BL,,"34.0454, -118.2657",1,34.0454, -118.2657
119771,2015-06-17,150114923,06/08/2015 12:00:00 AM,200,1,Central,138,121,"RAPE, FORCIBLE",IC,Invest Cont,         4TH                          ST,   CROCKER,"34.0444, -118.2407",1,34.0444, -118.2407
119821,2015-06-09,150314144,06/08/2015 12:00:00 AM,2300,3,Southwest,393,121,"RAPE, FORCIBLE",IC,Invest Cont,         CRENSHAW                     BL,W  43RD                         PL,"34.0042, -118.3319",1,34.0042, -118.3319
120041,2015-06-09,151010527,06/08/2015 12:00:00 AM,2100,10,West Valley,1009,121,"RAPE, FORCIBLE",IC,Invest Cont,         HASKELL,   ROSCOE,"34.2214, -118.4749",1,34.2214, -118.4749
120057,2015-06-09,151100713,06/08/2015 12:00:00 AM,1400,11,Northeast,1101,121,"RAPE, FORCIBLE",AO,Adult Other, 4700    CRYSTAL SPRINGS              DR,,"34.1209, -118.2729",1,34.1209, -118.2729
120115,2015-06-10,151214936,06/08/2015 12:00:00 AM,100,12,77th Street,1259,121,"RAPE, FORCIBLE",AO,Adult Other, 7600    AVALON                       BL,,"33.9712, -118.2652",1,33.9712, -118.2652
120430,2015-06-07,150114266,06/07/2015 12:00:00 AM,130,1,Central,132,121,"RAPE, FORCIBLE",IC,Invest Cont,  200 S  OLIVE                        ST,,"34.0538, -118.2488",1,34.0538, -118.2488
120462,2015-06-08,150212672,06/07/2015 12:00:00 AM,2045,2,Rampart,245,122,"RAPE, ATTEMPTED",AA,Adult Arrest,  300 S  ALVARADO                     ST,,"34.0630, -118.2727",1,34.0630, -118.2727
120631,2015-06-30,150711723,06/07/2015 12:00:00 AM,2330,7,Wilshire,734,121,"RAPE, FORCIBLE",IC,Invest Cont,  300 S  FULLER                       AV,,"34.0688, -118.3505",1,34.0688, -118.3505
120717,2015-07-07,151011765,06/07/2015 12:00:00 AM,100,10,West Valley,1006,122,"RAPE, ATTEMPTED",JA,Juv Arrest, 8100    ANDASOL                      AV,,"34.2171, -118.5117",1,34.2171, -118.5117
120825,2015-06-09,151419864,06/07/2015 12:00:00 AM,630,14,Pacific,1406,121,"RAPE, FORCIBLE",IC,Invest Cont, 1600    BUTLER                       AV,,"34.0456, -118.4519",1,34.0456, -118.4519
120839,2015-06-07,151512924,06/07/2015 12:00:00 AM,130,15,N Hollywood,1555,121,"RAPE, FORCIBLE",AO,Adult Other,11000    MORRISON                     ST,,"34.1611, -118.3706",1,34.1611, -118.3706
120876,2015-06-08,151609749,06/07/2015 12:00:00 AM,2000,16,Foothill,1699,121,"RAPE, FORCIBLE",IC,Invest Cont, 7600    HOLLYWOOD                    WY,,"34.2085, -118.3486",1,34.2085, -118.3486
121036,2015-06-06,150114233,06/06/2015 12:00:00 AM,1850,1,Central,148,122,"RAPE, ATTEMPTED",IC,Invest Cont,  600 E  5TH                          ST,,"34.0435, -118.2427",1,34.0435, -118.2427
121044,2015-06-09,150114326,06/06/2015 12:00:00 AM,1600,1,Central,152,121,"RAPE, FORCIBLE",IC,Invest Cont,  500 S  FLOWER                       ST,,"34.0516, -118.2561",1,34.0516, -118.2561
121151,2015-06-06,150510857,06/06/2015 12:00:00 AM,100,5,Harbor,508,121,"RAPE, FORCIBLE",AA,Adult Arrest, 1500    WOODBURY                     DR,,"33.8143, -118.3032",1,33.8143, -118.3032
121499,2015-06-06,151512890,06/06/2015 12:00:00 AM,200,15,N Hollywood,1527,121,"RAPE, FORCIBLE",AO,Adult Other, 6100    FULCHER                      AV,,"34.1813, -118.3731",1,34.1813, -118.3731
122040,2015-06-05,151111761,06/05/2015 12:00:00 AM,1,11,Northeast,1105,121,"RAPE, FORCIBLE",AA,Adult Arrest, 2800 W  BROADWAY,,"34.1437, -118.2257",1,34.1437, -118.2257
122175,2015-06-06,151416199,06/05/2015 12:00:00 AM,2200,14,Pacific,1433,121,"RAPE, FORCIBLE",AO,Adult Other, 1400    VENICE                       BL,,"33.9958, -118.4491",1,33.9958, -118.4491
122223,2015-10-01,151519162,06/05/2015 12:00:00 AM,200,15,N Hollywood,1525,121,"RAPE, FORCIBLE",IC,Invest Cont,11800    KITTRIDGE                    ST,,"34.1903, -118.3900",1,34.1903, -118.3900
122415,2015-07-08,152112624,06/05/2015 12:00:00 AM,530,21,Topanga,2146,121,"RAPE, FORCIBLE",AO,Adult Other, 7000    VASSAR                       AV,,"34.1974, -118.6044",1,34.1974, -118.6044
122442,2015-06-26,150115499,06/04/2015 12:00:00 AM,1,1,Central,166,121,"RAPE, FORCIBLE",IC,Invest Cont,         WALL                         ST,   6TH,"34.0435, -118.2471",1,34.0435, -118.2471
122544,2015-07-08,150411847,06/04/2015 12:00:00 AM,2000,4,Hollenbeck,445,121,"RAPE, FORCIBLE",IC,Invest Cont, 2000    MARENGO                      ST,,"34.0571, -118.2084",1,34.0571, -118.2084
122894,2015-06-05,151512822,06/04/2015 12:00:00 AM,2230,15,N Hollywood,1555,121,"RAPE, FORCIBLE",AA,Adult Arrest, 4800    KLUMP                        AV,,"34.1577, -118.3757",1,34.1577, -118.3757
122970,2015-06-04,151811937,06/04/2015 12:00:00 AM,1800,18,Southeast,1863,121,"RAPE, FORCIBLE",IC,Invest Cont,11900    AVALON                       BL,,"33.9247, -118.2652",1,33.9247, -118.2652
123042,2015-06-05,152111060,06/04/2015 12:00:00 AM,1200,21,Topanga,2144,121,"RAPE, FORCIBLE",IC,Invest Cont,22600    VANOWEN                      ST,,"34.1937, -118.6192",1,34.1937, -118.6192
123429,2015-06-14,151215129,06/03/2015 12:00:00 AM,2300,12,77th Street,1239,122,"RAPE, ATTEMPTED",IC,Invest Cont,         59TH                         PL,   HOOVER                       ST,"33.9864, -118.2870",1,33.9864, -118.2870
123456,2015-06-04,151312542,06/03/2015 12:00:00 AM,2328,13,Newton,1371,122,"RAPE, ATTEMPTED",IC,Invest Cont,         56TH                         ST,   BROADWAY,"33.9915, -118.2783",1,33.9915, -118.2783
123743,2015-06-22,150115258,06/02/2015 12:00:00 AM,700,1,Central,132,121,"RAPE, FORCIBLE",AA,Adult Arrest,  800 W  1ST                          ST,,"34.0571, -118.2509",1,34.0571, -118.2509
123834,2015-06-02,150510638,06/02/2015 12:00:00 AM,220,5,Harbor,519,121,"RAPE, FORCIBLE",AA,Adult Arrest, 1500 E  O                            ST,,"33.7927, -118.2455",1,33.7927, -118.2455
124022,2015-06-03,151010311,06/02/2015 12:00:00 AM,2200,10,West Valley,1049,122,"RAPE, ATTEMPTED",IC,Invest Cont,         WOODLEY                      AV,   BURBANK                      BL,"34.1796, -118.4820",1,34.1796, -118.4820
124108,2015-08-03,151218677,06/02/2015 12:00:00 AM,1400,12,77th Street,1257,121,"RAPE, FORCIBLE",AO,Adult Other,  900 W  78TH                         ST,,"33.9688, -118.2893",1,33.9688, -118.2893
124333,2015-06-11,151912781,06/02/2015 12:00:00 AM,1800,19,Mission,1966,121,"RAPE, FORCIBLE",AO,Adult Other,14200    DEARBORN                     ST,,"34.2373, -118.4435",1,34.2373, -118.4435
124439,2015-06-01,150212323,06/01/2015 12:00:00 AM,30,2,Rampart,269,121,"RAPE, FORCIBLE",AO,Adult Other, 1700    HARTFORD                     AV,,"34.0515, -118.2678",1,34.0515, -118.2678
124511,2015-10-24,150323141,06/01/2015 12:00:00 AM,2200,3,Southwest,393,121,"RAPE, FORCIBLE",IC,Invest Cont, 3100 W  43RD                         PL,,"34.0044, -118.3267",1,34.0044, -118.3267
124708,2015-06-01,150901060,06/01/2015 12:00:00 AM,1400,9,Van Nuys,916,121,"RAPE, FORCIBLE",IC,Invest Cont,13900    SHERMAN                      WY,,"34.2012, -118.4356",1,34.2012, -118.4356
124755,2015-11-18,150920003,06/01/2015 12:00:00 AM,1300,9,Van Nuys,923,121,"RAPE, FORCIBLE",IC,Invest Cont,         VAN NUYS,   VICTORY,"34.1867, -118.4487",1,34.1867, -118.4487
124977,2015-09-02,151423539,06/01/2015 12:00:00 AM,1200,14,Pacific,1416,121,"RAPE, FORCIBLE",IC,Invest Cont, 3300    MOORE                        ST,,"34.0100, -118.4497",1,34.0100, -118.4497
125041,2015-11-12,151521535,06/01/2015 12:00:00 AM,1100,15,N Hollywood,1506,121,"RAPE, FORCIBLE",IC,Invest Cont, 7300    TUJUNGA                      AV,,"34.2030, -118.3790",1,34.2030, -118.3790
125063,2015-07-28,151611907,06/01/2015 12:00:00 AM,1200,16,Foothill,1684,121,"RAPE, FORCIBLE",IC,Invest Cont,11700    SATICOY                      ST,,"34.2085, -118.3878",1,34.2085, -118.3878
125388,2015-06-16,150314673,05/31/2015 12:00:00 AM,2000,3,Southwest,363,121,"RAPE, FORCIBLE",IC,Invest Cont, 4100    PALMWOOD                     DR,,"34.0137, -118.3435",1,34.0137, -118.3435
125909,2015-08-10,152114028,05/31/2015 12:00:00 AM,230,21,Topanga,2136,121,"RAPE, FORCIBLE",AO,Adult Other, 7500    ALABAMA                      AV,,"34.2065, -118.5991",1,34.2065, -118.5991
125912,2015-05-30,150101022,05/30/2015 12:00:00 AM,1705,1,Central,156,121,"RAPE, FORCIBLE",IC,Invest Cont,  500    WALL                         ST,,"34.0449, -118.2458",1,34.0449, -118.2458
126088,2015-05-31,150613589,05/30/2015 12:00:00 AM,2120,6,Hollywood,648,121,"RAPE, FORCIBLE",IC,Invest Cont, 1600    TAFT                         AV,,"34.0999, -118.3147",1,34.0999, -118.3147
126517,2015-05-30,151811627,05/30/2015 12:00:00 AM,100,18,Southeast,1863,121,"RAPE, FORCIBLE",IC,Invest Cont,         120TH                        ST,   AVALON                       BL,"33.9237, -118.2652",1,33.9237, -118.2652
126601,2015-06-26,152012389,05/30/2015 12:00:00 AM,100,20,Olympic,2034,121,"RAPE, FORCIBLE",AO,Adult Other,  700 S  NORMANDIE                    AV,,"34.0598, -118.2998",1,34.0598, -118.2998
126609,2015-05-30,152110825,05/30/2015 12:00:00 AM,100,21,Topanga,2115,121,"RAPE, FORCIBLE",AO,Adult Other,21900    LANARK                       ST,,"34.2176, -118.6045",1,34.2176, -118.6045
127190,2015-05-29,151512460,05/29/2015 12:00:00 AM,2300,15,N Hollywood,1505,121,"RAPE, FORCIBLE",AO,Adult Other, 7200    LEMP                         AV,,"34.2012, -118.3845",1,34.2012, -118.3845
127398,2015-05-28,150113627,05/28/2015 12:00:00 AM,700,1,Central,157,122,"RAPE, ATTEMPTED",IC,Invest Cont,  600 E  6TH                          ST,,"34.0417, -118.2443",1,34.0417, -118.2443
127828,2015-10-19,151426904,05/28/2015 12:00:00 AM,1,14,Pacific,1464,121,"RAPE, FORCIBLE",IC,Invest Cont, 5700    CRESCENT PARK,,"33.9720, -118.4283",1,33.9720, -118.4283
128793,2015-05-28,150313224,05/26/2015 12:00:00 AM,330,3,Southwest,396,121,"RAPE, FORCIBLE",IC,Invest Cont,  900 W  VERNON                       AV,,"34.0037, -118.2890",1,34.0037, -118.2890
129175,2015-06-01,151415859,05/26/2015 12:00:00 AM,1300,14,Pacific,1431,121,"RAPE, FORCIBLE",IC,Invest Cont,         WASHINGTON,   PACIFIC,"33.9798, -118.4656",1,33.9798, -118.4656
129325,2015-05-26,152000616,05/26/2015 12:00:00 AM,400,20,Olympic,2026,122,"RAPE, ATTEMPTED",AO,Adult Other, 3600 W  3RD                          ST,,"34.0691, -118.2941",1,34.0691, -118.2941
129360,2015-05-29,152011151,05/26/2015 12:00:00 AM,1200,20,Olympic,2015,121,"RAPE, FORCIBLE",IC,Invest Cont,  100 N  CATALINA                     ST,,"34.0727, -118.2954",1,34.0727, -118.2954
129540,2015-05-29,150510463,05/25/2015 12:00:00 AM,150,5,Harbor,562,121,"RAPE, FORCIBLE",AO,Adult Other, 1200 W  9TH                          ST,,"33.7361, -118.3034",1,33.7361, -118.3034
129707,2015-05-25,151213814,05/25/2015 12:00:00 AM,225,12,77th Street,1211,121,"RAPE, FORCIBLE",AA,Adult Arrest,         52ND                         ST,   2ND                          AV,"33.9951, -118.3193",1,33.9951, -118.3193
129809,2015-05-25,151512041,05/25/2015 12:00:00 AM,1700,15,N Hollywood,1535,122,"RAPE, ATTEMPTED",IC,Invest Cont,         LANKERSHIM                   BL,   OXNARD                       ST,"34.1794, -118.3834",1,34.1794, -118.3834
129932,2015-06-12,151812320,05/25/2015 12:00:00 AM,2230,18,Southeast,1824,121,"RAPE, FORCIBLE",AO,Adult Other,  600 E  94TH                         ST,,"33.9511, -118.2651",1,33.9511, -118.2651
130045,2015-06-06,150114192,05/24/2015 12:00:00 AM,645,1,Central,157,122,"RAPE, ATTEMPTED",IC,Invest Cont,  600 E  6TH                          ST,,"34.0417, -118.2443",1,34.0417, -118.2443
130171,2015-07-10,150512942,05/24/2015 12:00:00 AM,1800,5,Harbor,518,121,"RAPE, FORCIBLE",AO,Adult Other,  500 E  DOLORES                      ST,,"33.7944, -118.2575",1,33.7944, -118.2575
130203,2015-09-13,150620126,05/24/2015 12:00:00 AM,2200,6,Hollywood,636,121,"RAPE, FORCIBLE",IC,Invest Cont, 1700 N  MC CADDEN                    PL,,"34.1016, -118.3374",1,34.1016, -118.3374
130322,2015-05-24,151111121,05/24/2015 12:00:00 AM,500,11,Northeast,1148,121,"RAPE, FORCIBLE",IC,Invest Cont, 4500    SAN ANDREAS                  AV,,"34.1099, -118.2179",1,34.1099, -118.2179
130578,2015-05-26,151900818,05/24/2015 12:00:00 AM,45,19,Mission,1971,121,"RAPE, FORCIBLE",IC,Invest Cont, 9000    ORION                        AV,,"34.2338, -118.4720",1,34.2338, -118.4720
130650,2015-05-29,152011153,05/24/2015 12:00:00 AM,1100,20,Olympic,2081,121,"RAPE, FORCIBLE",AO,Adult Other, 1600 S  GRAMERCY                     PL,,"34.0436, -118.3130",1,34.0436, -118.3130
130682,2015-06-11,152111430,05/24/2015 12:00:00 AM,600,21,Topanga,2126,122,"RAPE, ATTEMPTED",IC,Invest Cont,21200    SATICOY                      ST,,"34.2083, -118.5943",1,34.2083, -118.5943
131335,2015-10-26,150123798,05/22/2015 12:00:00 AM,2300,1,Central,162,121,"RAPE, FORCIBLE",IC,Invest Cont,  700 W  9TH                          ST,,"34.0458, -118.2614",1,34.0458, -118.2614
131478,2015-05-23,150600853,05/22/2015 12:00:00 AM,200,6,Hollywood,636,121,"RAPE, FORCIBLE",IC,Invest Cont, 1700    WILCOX                       AV,,"34.1016, -118.3310",1,34.1016, -118.3310
131958,2015-05-22,152010841,05/22/2015 12:00:00 AM,940,20,Olympic,2036,121,"RAPE, FORCIBLE",IC,Invest Cont,  700 S  CATALINA                     ST,,"34.0598, -118.2954",1,34.0598, -118.2954
132397,2015-05-22,151213599,05/21/2015 12:00:00 AM,830,12,77th Street,1265,121,"RAPE, FORCIBLE",AA,Adult Arrest, 1400 W  84TH                         PL,,"33.9619, -118.3003",1,33.9619, -118.3003
132734,2015-05-23,152110931,05/21/2015 12:00:00 AM,300,21,Topanga,2155,121,"RAPE, FORCIBLE",AO,Adult Other, 6300    GLADE                        AV,,"34.1848, -118.6077",1,34.1848, -118.6077
133003,2015-05-20,150910849,05/20/2015 12:00:00 AM,1845,9,Van Nuys,989,121,"RAPE, FORCIBLE",AO,Adult Other, 4300    FULTON                       AV,,"34.1487, -118.4225",1,34.1487, -118.4225
133143,2015-05-30,151214181,05/20/2015 12:00:00 AM,100,12,77th Street,1293,121,"RAPE, FORCIBLE",AO,Adult Other,10600 S  WESTERN                      AV,,"33.9400, -118.3090",1,33.9400, -118.3090
133271,2015-05-26,151609320,05/20/2015 12:00:00 AM,100,16,Foothill,1654,121,"RAPE, FORCIBLE",IC,Invest Cont,         GLENOAKS                     BL,   OSBORNE                      ST,"34.2647, -118.4019",1,34.2647, -118.4019
134909,2015-05-18,150312637,05/17/2015 12:00:00 AM,1900,3,Southwest,331,121,"RAPE, FORCIBLE",AA,Adult Arrest, 3000 S  LA BREA                      AV,,"34.0272, -118.3537",1,34.0272, -118.3537
135029,2015-05-17,150709904,05/17/2015 12:00:00 AM,2350,7,Wilshire,701,122,"RAPE, ATTEMPTED",AA,Adult Arrest,  700 N  CROFT                        AV,,"34.0837, -118.3742",1,34.0837, -118.3742
135129,2015-05-17,151110760,05/17/2015 12:00:00 AM,1215,11,Northeast,1137,121,"RAPE, FORCIBLE",IC,Invest Cont,  300 N  AVENUE 51,,"34.1078, -118.2024",1,34.1078, -118.2024
135431,2015-05-19,152110271,05/17/2015 12:00:00 AM,1200,21,Topanga,2141,121,"RAPE, FORCIBLE",AO,Adult Other,23800    WELBY                        WY,,"34.1926, -118.6447",1,34.1926, -118.6447
135458,2015-05-19,150113083,05/16/2015 12:00:00 AM,2000,1,Central,147,121,"RAPE, FORCIBLE",IC,Invest Cont,         5TH                          ST,   SAN PEDRO,"34.0442, -118.2439",1,34.0442, -118.2439
135605,2015-05-17,150612702,05/16/2015 12:00:00 AM,1015,6,Hollywood,678,122,"RAPE, ATTEMPTED",AO,Adult Other, 4800    MELROSE                      AV,,"34.0836, -118.3049",1,34.0836, -118.3049
135814,2015-05-19,151213366,05/16/2015 12:00:00 AM,2300,12,77th Street,1267,121,"RAPE, FORCIBLE",AO,Adult Other,         83RD                         ST,   FIGUEROA                     ST,"33.9642, -118.2827",1,33.9642, -118.2827
136231,2015-05-26,150313132,05/15/2015 12:00:00 AM,2100,3,Southwest,393,121,"RAPE, FORCIBLE",IC,Invest Cont, 4200    6TH                          AV,,"34.0072, -118.3239",1,34.0072, -118.3239
136234,2015-05-26,150313425,05/15/2015 12:00:00 AM,2330,3,Southwest,334,121,"RAPE, FORCIBLE",AO,Adult Other,      S  BRONSON                      ST,W  30TH                         ST,"34.0276, -118.3338",1,34.0276, -118.3338
136242,2015-05-15,150400712,05/15/2015 12:00:00 AM,30,4,Hollenbeck,453,121,"RAPE, FORCIBLE",AA,Adult Arrest, 1800    PENNSYLVANIA                 AV,,"34.0480, -118.2181",1,34.0480, -118.2181
136941,2015-05-14,150211360,05/14/2015 12:00:00 AM,200,2,Rampart,221,121,"RAPE, FORCIBLE",AO,Adult Other,  400 N  KENMORE                      AV,,"34.0777, -118.2969",1,34.0777, -118.2969
136961,2015-05-14,150300870,05/14/2015 12:00:00 AM,2300,3,Southwest,328,121,"RAPE, FORCIBLE",IC,Invest Cont,      W  JEFFERSON                    BL,S  FIGUEROA                     ST,"34.0230, -118.2824",1,34.0230, -118.2824
137345,2015-06-01,151312407,05/14/2015 12:00:00 AM,200,13,Newton,1321,121,"RAPE, FORCIBLE",IC,Invest Cont,  300 W  ADAMS                        BL,,"34.0265, -118.2723",1,34.0265, -118.2723
137662,2015-05-31,150212284,05/13/2015 12:00:00 AM,2300,2,Rampart,248,121,"RAPE, FORCIBLE",IC,Invest Cont, 1600 W  3RD                          ST,,"34.0599, -118.2655",1,34.0599, -118.2655
137663,2015-05-14,150300845,05/13/2015 12:00:00 AM,2000,3,Southwest,328,121,"RAPE, FORCIBLE",IC,Invest Cont,  700 W  28TH                         ST,,"34.0264, -118.2780",1,34.0264, -118.2780
137779,2015-05-14,150612539,05/13/2015 12:00:00 AM,2130,6,Hollywood,646,122,"RAPE, ATTEMPTED",AO,Adult Other, 1600 N  CAHUENGA                     BL,,"34.0998, -118.3295",1,34.0998, -118.3295
138259,2015-05-20,152110934,05/13/2015 12:00:00 AM,1615,21,Topanga,2189,122,"RAPE, ATTEMPTED",AO,Adult Other,20500    VENTURA                      BL,,"34.1683, -118.5787",1,34.1683, -118.5787
138661,2015-05-23,151213745,05/12/2015 12:00:00 AM,1230,12,77th Street,1259,121,"RAPE, FORCIBLE",IC,Invest Cont,  800 E  77TH                         ST,,"33.9694, -118.2608",1,33.9694, -118.2608
138767,2015-08-13,151516435,05/12/2015 12:00:00 AM,2100,15,N Hollywood,1526,122,"RAPE, ATTEMPTED",AO,Adult Other,11400    VICTORY                      BL,,"34.1867, -118.3790",1,34.1867, -118.3790
139040,2015-11-19,150324916,05/11/2015 12:00:00 AM,1700,3,Southwest,355,121,"RAPE, FORCIBLE",IC,Invest Cont, 3600 S  GRAMERCY                     PL,,"34.0228, -118.3138",1,34.0228, -118.3138
139140,2015-05-13,150709710,05/11/2015 12:00:00 AM,1,7,Wilshire,702,121,"RAPE, FORCIBLE",IC,Invest Cont,         MELROSE                      AV,   SIERRA BONITA,"34.0837, -118.3543",1,34.0837, -118.3543
139289,2015-05-11,151200811,05/11/2015 12:00:00 AM,1700,12,77th Street,1251,121,"RAPE, FORCIBLE",IC,Invest Cont, 7300    CRENSHAW                     BL,,"33.9737, -118.3309",1,33.9737, -118.3309
139660,2015-05-15,150211403,05/10/2015 12:00:00 AM,1800,2,Rampart,299,121,"RAPE, FORCIBLE",IC,Invest Cont,         ALBANY,   14TH                         ST,"34.0417, -118.2750",1,34.0417, -118.2750
139930,2015-05-10,151212830,05/10/2015 12:00:00 AM,130,12,77th Street,1243,121,"RAPE, FORCIBLE",IC,Invest Cont,         GAGE                         AV,   WESTERN                      AV,"33.9824, -118.3090",1,33.9824, -118.3090
140412,2015-05-10,150612304,05/09/2015 12:00:00 AM,2230,6,Hollywood,645,121,"RAPE, FORCIBLE",AO,Adult Other,         FRANKLIN,   HILLCREST,"34.1042, -118.3394",1,34.1042, -118.3394
140451,2015-05-10,150800974,05/09/2015 12:00:00 AM,2200,8,West LA,852,121,"RAPE, FORCIBLE",IC,Invest Cont,11600    OHIO                         AV,,"34.0456, -118.4547",1,34.0456, -118.4547
140696,2015-05-09,151608760,05/09/2015 12:00:00 AM,130,16,Foothill,1682,121,"RAPE, FORCIBLE",AO,Adult Other,11900    NEENACH                      ST,,"34.2282, -118.3927",1,34.2282, -118.3927
140713,2015-05-09,151700703,05/09/2015 12:00:00 AM,1500,17,Devonshire,1792,121,"RAPE, FORCIBLE",AO,Adult Other,19900    ROSCOE                       BL,,"34.2203, -118.5667",1,34.2203, -118.5667
141027,2015-05-08,150409870,05/08/2015 12:00:00 AM,700,4,Hollenbeck,457,121,"RAPE, FORCIBLE",IC,Invest Cont, 2800    CINCINNATI                   ST,,"34.0452, -118.2019",1,34.0452, -118.2019
141070,2015-05-15,150612632,05/08/2015 12:00:00 AM,500,6,Hollywood,645,121,"RAPE, FORCIBLE",IC,Invest Cont, 7000    HOLLYWOOD                    BL,,"34.1016, -118.3417",1,34.1016, -118.3417
141491,2015-05-13,151911143,05/08/2015 12:00:00 AM,1900,19,Mission,1993,121,"RAPE, FORCIBLE",IC,Invest Cont, 8000    NORWICH                      AV,,"34.2165, -118.4610",1,34.2165, -118.4610
141523,2015-05-10,152010254,05/08/2015 12:00:00 AM,2310,20,Olympic,2015,121,"RAPE, FORCIBLE",IC,Invest Cont,  100 N  NORMANDIE                    AV,,"34.0738, -118.3004",1,34.0738, -118.3004
141733,2015-05-08,150612199,05/07/2015 12:00:00 AM,2100,6,Hollywood,639,121,"RAPE, FORCIBLE",IC,Invest Cont,         HARVARD,   HOLLYWOOD,"34.1018, -118.3050",1,34.1018, -118.3050
141740,2015-05-21,150613066,05/07/2015 12:00:00 AM,500,6,Hollywood,635,121,"RAPE, FORCIBLE",IC,Invest Cont, 1900    GRACE                        AV,,"34.1053, -118.3321",1,34.1053, -118.3321
141837,2015-05-07,150910242,05/07/2015 12:00:00 AM,145,9,Van Nuys,905,121,"RAPE, FORCIBLE",AO,Adult Other,14600    SATICOY                      ST,,"34.2085, -118.4504",1,34.2085, -118.4504
142244,2015-05-08,150112427,05/06/2015 12:00:00 AM,1800,1,Central,128,121,"RAPE, FORCIBLE",AO,Adult Other,  300 E  1ST                          ST,,"34.0504, -118.2409",1,34.0504, -118.2409
142713,2015-05-07,151800846,05/06/2015 12:00:00 AM,2000,18,Southeast,1822,121,"RAPE, FORCIBLE",IC,Invest Cont, 9400 S  SPRING                       ST,,"33.9510, -118.2766",1,33.9510, -118.2766
